ITEM NO.,DESCRIPTION,QUANTITY
SF-SP1736,Silcon Oil Seal TC70*90*12 For RM-300,0.0
SF-SP0409,Lever :Cutter :1,2.0
SF-SP0465,Coupling Set,2.0
SF-SP1797,TIMING PULLEY P8M:A,1.0
SF-SP0466,Cylinder,2.0
SF-SP1796,FAN,0.0
SF-FM0002,FM FPC HOT - 2x25x27g,0.0
SF-SP0463,Hook Spring,4.0
SF-SP1795,NTC-Temperator control TRN122K1-4/2-8,0.0
SF-FM0001,FM FPC HOT - 50x25g,0.0
SF-SP0464,Spring,1.0
SF-SP1794,NTC-Temperature sensor L=2500mm,1.0
SF-FM0004,FM FPC KET - 50x25g,0.0
SF-SP0469,Relay base,3.0
SF-FM0003,FM FPC HOT - 2x15x25g,0.0
SF-FM0006,FM FPC KET - 2x15x25g,0.0
SF-SP0467,Heater cartridge,3.0
SF-SP1799,Variable speed helical geared motor,0.0
SF-FM0005,FM FPC KET - 2x25x27g,0.0
SF-SP0468,Belt,1.0
SF-SP1798,Fitting ELLMALE1/4LGRS#3109-56-11,8.0
SF-FM0008,FM FPC SALT - 2x25x27g,0.0
SF-FM0007,FM FPC SALT - 50x25g,0.0
SF-FM0009,FM FPC SALT - 2x15x25g,0.0
SF-SP0461,Seal TPN-S-500,12.0
SF-SP1793,Motor for Stone discharge belt ,0.0
SF-SP0462,Drive Motor Bearing,2.0
SF-SP1792,Bearing bush Size:Hole 33/hole25 L-25,2.0
SF-SP1791,NONEX EF10/2A18+07 WIT FG(3.2) Size:4520x200x3mm,0.0
SF-SP0460,E-Lock,5.0
SF-SP1790,Sprocket HBR 1'' Z:10 Bore: Hole25H7 with keyway,0.0
SF-SP0476,Sensor,1.0
SF-SP0477,Connection Angle Falng Gas,0.0
SF-SP0474,Elboe union,3.0
SF-SP0475,Spring,9.0
SF-SP0478,Bush,46.0
SF-SP0479,Gear rack,5.0
SF-SP0472,Cylinder,1.0
SF-SP0473,Cutter,2.0
SF-SP0470,Load cell,3.0
SF-SP0471,Spring,1.0
SF-SP0443,Chamber vacuum,2.0
SF-SP0444, Base Magnet Catch,0.0
SF-SP1774,Slicing knife plain steel,0.0
SF-SP0441,PWB AS P-5490:B (MCU Board),0.0
SF-SP1773,Slicing knife V-cut centris stainless steel 318V,400.0
SF-SP0442,PWB:P-5487:A-1,0.0
SF-SP1772,Vibrator motor ,2.0
SF-SP0447,Connector arum,1.0
SF-SP1779,FittingBLKHDELLUN1/4PISC#PML1/4,8.0
SF-SP0448,Dynaper Controller,1.0
SF-SP1778,Air cylinderBMBA#SR-178-DP-B,3.0
SF-SP0445,LEVER GRIP,2.0
SF-SP1777,ScrewHexHead1/2-20NFx3GRD8 ZCP,20.0
SF-SP0446,Encoder,0.0
SF-SP1776,Chute 175MD150FID277LREV D ,0.0
SF-CPM00890,Box - 650g LaRonda Wishes Acrylic,4206.0
SF-CPM00896,Sticker - 650g LaRonda Wishes Ingredients,52300.0
SF-SP1771,Conveyor gear ,0.0
SF-CPM00895,Leaflet - LaRonda Wishes,11960.0
SF-SP0440,Servo Motor M12R ,0.0
SF-SP1770,Conveyor Teeth Gear,2.0
SF-CPM00894,Sticker - 400g LaRonda Wishes Ingredients,22000.0
SF-CPM00898,Pouch - 250g LaRonda Wishes Collection,18920.0
SF-SP0438,Eye mark,2.0
SF-SP0439,Servo Drive M12L  ,0.0
SF-SP1769,Air Cylinder ,1.0
SF-SP0454,Pusher head,4.0
SF-SP1786,Globe vlave NW125Fig.242-RK,0.0
SF-SP0455,Universal cylinder,4.0
SF-SP1785,Globe Valve NW080 Fig.242-RK,0.0
LR-E0713,Chocodate Excl Real Dark 24x90g Pouch Promo DS,0.0
SF-SP0452,State-Relay-200VAC,4.0
SF-SP1784,Globe Valve NW065 Fig.242-RK,0.0
LR-E0712,Chocodate Excl Real Milk 24x90g Pouch Promo DS,0.0
SF-SP0453,Relay,2.0
SF-SP1783,Single Phase Preventer(SPP),0.0
SF-SP0458,Stripper disosar,2.0
SF-SP0459,Belt,5.0
SF-SP1789,Gasket 142x90x3 NW 80,4.0
SF-SP0456,Cylinder-Pusher Head L=24MM,4.0
SF-SP1788,Gasket 192x141x3 NW125,2.0
SF-SP0457,Base and Relay Set,2.0
SF-SP1787,Gasket 127x77x3 NW 65,2.0
LR-E0718,Chocodate Excl Real Caramel 24x90g Pouch Promo DS,0.0
LR-E0715,Chocodate Excl Real Assorted 24x90g Pouch Promo DS,0.0
SF-SP0450,Dia blatic plate,2.0
SF-SP1782,Teflon 8mm:High temperature 300 Degree,0.0
LR-E0714,Chocodate Excl Real Coconut 24x90g Pouch Promo DS,0.0
SF-SP0451,Hole punch,1.0
SF-SP1781, 0.9/1.6mm:840mm with 1''roller chain & cleats ,0.0
LR-E0717,Chocodate Excl Real White 24x90g Pouch Promo DS,0.0
SF-SP1780,Fitting BLKHDUN1/4LGRS#3109-56-11,8.0
LR-E0716,Chocodate Excl Real Extra Dark 24x90g PouchPromoDS,0.0
SF-SP0449,Relay,3.0
MB-M0011,MALBAN KOROSH POMEGRANATE DRIED,0.0
SF-XT0005,XTREME CRINKLE FPC BBQ-28p x 50g,0.0
SF-XT0004,XTREME CRINKLE SALT-28px50g,0.0
SF-XT0003,XTREME CRINKLE THAI SWEET CHILLI-28p x 50g,26.0
SF-XT0002,XTREME CRINKLE HOT-28X55g,0.0
SF-XT0009,XTREME FPC FRENCH CHEESE 48px50g,0.0
SF-XT0008,XTREME FPC VEGETABLE 50px12g,0.0
SF-XT0007,XTREME FPC FR. CHEESE 50p x 12gm,0.0
SF-XT0006,XTREME STICK CHICKEN 50p x 20g,0.0
MB-M0006,Malban Balorih Super 5 kg Bulk,0.0
SF-XT0001,XTREME CRINKLE CREAMY CHEDDER 28 x 50g,255.0
SF-SP0487,Knife Blade (Woodman),0.0
SF-XT0016,XTREME FPC HOT 28x40g,0.0
SF-SP0488,Battery,0.0
SF-XT0015,XTREME CRINKLE HOT 12Px185g,0.0
SF-SP0485,Air Cylinder Gudie lh522-16,4.0
SF-XT0014,XTREME FPC HOT 12pX140g,0.0
SF-SP0486,Knife Blade,7.0
SF-XT0013,XTREME FPC HOT 12px110g,0.0
SF-XT0019,XTREME STICK KETCHUP 50p x 12gm,0.0
SF-SP0489,Cable,1.0
SF-XT0018,XTREME STICK KETCHUP 50p x 20g,0.0
SF-XT0017,XTREME STICK HOT & SPICY 50p x 20g,0.0
SF-SP0480,Heater,2.0
SF-SP0483,Retifier,1.0
SF-XT0012,XTREME FPC HOT 48px50g,0.0
SF-SP0484,Connection Flang,0.0
SF-XT0011,XTREME CRINKLE HOT 28px50g PRO,0.0
SF-SP0481,Heater,0.0
SF-XT0010,XTREME STICK HOT 50p x 12gm,0.0
SF-SP0482,Noise filter,1.0
SF-SP0498,Gear head eduction,1.0
SF-XT0027,XTREME CRINKLE PROMO PACK 4bx5p+2p FREEx50g,0.0
SF-SP0499,Bearing,2.0
SF-XT0026,XTREME CRINKLE PROMO PACK 5bX6pX40g,0.0
SF-SP0496,Bearing,1.0
SF-XT0025,XTREME FPC KETCHUP 28x40g,0.0
SF-SP0497,Relay,6.0
SF-XT0024,XTREME CRINKLE KETCHUP 12px185g,0.0
SF-XT0029,XTREME STICK SALT 50p x 20g,0.0
SF-XT0028,XTREME CRINKLE PROMO PACK 5bx6px55g,0.0
SF-SP0490,Battery,3.0
SF-SP0491,Flange bearing,7.0
SF-SP0494,Spring,3.0
