ITEM NO.,DESCRIPTION,QUANTITY
SF-FI0011,FIESTA-FC-RH-12px165g,286.0089
SF-FI0010,FIESTA-FC-RH-12px100g,0.0
SF-FI0013,FIESTA-FC SALT- 5Bx12px16g,0.0
SF-FI0012,FIESTA-FC SALT-60px20g,0.0
SF-FI0015,FIESTA-FC SALT- 50px25g,0.0
SF-FI0014,Fiesta Salt 5bX14pX25g,0.0
SF-FI0017,FIESTA-FC SALT- 50px30g,0.0
SF-FI0016,FIESTA-FC SALT- 5Bx14px30g,0.0
SF-FI0019,FIESTA-FC-SAL-12px100g,0.0
SF-FI0018,FIESTA-FC-SALT 2x24x14gms,0.0
SF-FI0020,FIESTA-FC-SAL-18px100g,0.0
SF-FI0022,FIESTA-FC SC- 5Bx14px25g,0.0
SF-FI0021,FIESTA-FC SOUR CREAM ONION - 5Bx12px16g,0.0
SF-FI0024,FIESTA-FC SC- 5bx14px30g,0.0
SF-FI0023,FIESTA-FC SC- 50px25g,0.0
SF-XL0925,XL LITE BAKED Black Pepper 18g x 5bag x 12pkts,0.0
SF-XL0926,XL FPC Red Chili 250g x 12pkts,461.1667
SF-XL0923,XL FPC Ketchup 12g x 4bag x 20pkts,123.0575
SF-XL0924,XL LITE BAKED Vintage Cheese 18g x 5bag x 12pkts,0.0
SF-XL0929,XL FPC Red Chili 160g x 12pkts,0.0
SF-XL0927,XL FPC French Cheese 250g x 12pkts,4.4167
SF-XL0928,XL FPC Ketchup 250g x 12pkts,666.167
SF-XL0921,XL FPC Red Chili 12g x 4bag x 20pkts,368.9112
SF-XL0922,XL FPC French Cheese 12g x 4bag x 20pkts,307.3
SF-XL0920,XL FPC Crystal Salt 20g x 4bag x 14pkts,42.0
SF-XL0909,XL FPS STIX Thai Campfire 35g x 6cans x 8trays,27.4296
SF-XL0914,XL FPC Crystal Salt 21g x 5box x 12pkts,0.0
SF-XL0915,XL LITE BAKED Black Pepper 23g x 5box x 12pkts,0.0
SF-XL0912,XL FPC Tomato Ketchup 21g x 5box x 12pkts,0.0
SF-XL0913,XL FPC Salt & Vinegar 21g x 5box x 12pkts,0.0
SF-XL0918,XL FPC Ketchup 20g x 4bag x 14pkts,313.5179
SF-XL0919,XL FPC Salt & Vinegar 20g x 4bag x 14pkts,0.0
SF-XL0916,XL FPC Red Chili  20g x 4bag x 14pkts,424.0
SF-XL0917,XL FPC French Cheese 20g x 4bag x 14pkts,110.0
SF-XL0910,XL FPC Red Chili Pepper 21g x 5box x 12pkts,0.0
SF-XL0911,XL FPC French Cheese 21g x 5box x 12pkts,0.0
SF-XL0947,XL LITE BAKED Black Pepper 165g x 12pkts,0.0
SF-XL0948,XL LITE BAKED Vintage Cheese 36g x 36pkts,0.0
SF-XL0945,XL FPC Ketchup 10g x 80pkts,256.0
SF-XL0946,XL LITE BAKED Vintage Cheese 165g x 12pkts,0.0
SF-XL0949,XL LITE BAKED Black Pepper 36g x 36pkts,0.0
SF-XL0940,XL FPC Ketchup 18g x 64pkts,0.0
SF-XL0943,XL FPC Red Chili 10g x 80pkts,0.0
SF-XL0944,XL FPC French Cheese 10g x 80pkts,0.0
SF-XL0941,XL FPC Salt & Vinegar 18g x 64pkts,0.0
SF-XL0942,XL FPC Crystal Salt 18g x 64pkts,0.0
LR-O0192,LaRonda Wishes Assorted Twist 1Kg Bulk,0.0
SF-XL0936,XL FPC French Cheese 40g x 36pkts,875.4056
SF-XL0937,XL FPC Ketchup 40g x 36pkts,780.7722
SF-XL0934,XL FPC Tomoto Ketchup 120g x 12pkts,0.0
SF-XL0935,XL FPC Red Chili 40g x 36pkts,882.5383
SF-XL0938,XL FPC Red Chili 18g x 64pkts,0.0
SF-XL0939,XL FPC French Cheese 18g x 64pkts,0.0
LR-O0199,Rouge Chocolate Clusters Milk 12x160g ,0.0
SF-XL0932,XL FPC Red Chili Pepper 120g x 12pkts,0.0
SF-XL0933,XL FPC French Cheese 120g x 12pkts,0.0
SF-XL0930,XL FPC French Cheese 160g x 12pkts,0.0
SF-XL0931,XL FPC Ketchup 160g x 12pkts,0.0
LR-O0178,LaRonda Wishes Dark Orange Cream Twist 1Kg Bulk,0.0
LR-O0176,LaRonda Wishes 800g x 6 Plain Pouch,0.0
LR-O0177,LaRonda Wishes Caramel Twist 1Kg Bulk,0.0
SF-OIL0004,VEGETABLE OIL SHORTENING,192.259
SF-OIL0005,Olive Oil,740.0
SF-OIL0002,PALM+SUNFLOWER OIL,0.0
SF-OIL0003,CORN OIL,0.0
SF-OIL0001,PALMOLIEN,141483.101
LR-O0141,LaRonda Wishes White Crispy Twist 1Kg Bulk,0.0
SF-XL0907,XL FPS STIX Tomato Ketchup 35g x 6cans x 8trays,8.5208
LR-O0142,LaRonda Wishes Dark Coffee Cream Twist 1Kg Bulk,0.0
SF-XL0908,XL FPS STIX Original  35g x 6cans x 8trays,7.4167
LR-O0140,LaRonda Wishes Almond Crunch Twist 1Kg Bulk,0.0
SF-XL0906,XL FPS STIX Mild Spicy 35g x 6cans x 8trays,13.5208
LR-O0143,LaRonda Wishes 650G*8 Acrylic Box,48.0
LR-O0240,Luxury Venice Square Baby Blue Milk Cream 5Kg,0.0
LR-O0241,Luxury Venice Square Leather Gold Milk Cream 5Kg,0.0
LR-O0244,Luxury Venice Square Arabesques Gold MilkCream 5Kg,0.0
LR-O0245,Luxury Venice Square Wedding Silver Milk Cream 5Kg,0.0
LR-O0242,Luxury Venice Square Red Milk Cream 5Kg,0.0
LR-O0243,Luxury Venice Square Bronze Milk Cream 5Kg,0.0
LR-O0248,Luxury Venice  Rectangle Light Pink White Crispy 5,0.0
LR-O0249,Luxury Venice  Rectangle Light Pink White Crispy 5,0.0
LR-O0246,Luxury Venice Square Baby Blue Milk Cream 5Kg,0.0
LR-O0247,Luxury Venice  Rectangle Gen Silver WhiteCrispy 5K,0.0
SF-XL0990,XL LITE BAKED Black Pepper 36px40g,0.0
SF-XL0991,XL LITE BAKED Vintage Cheese 36px40g ,0.0
SF-CPM01532,Pouch - 100g Exclusive Dark No Added Sugar,0.0
SF-CPM01533,Pouch - 250g Exclusive Dark No Added Sugar,0.0
SF-CPM01534,Pouch - 100g Chocodate Exclusive Ruby,0.0
SF-CPM00201,Carton - 12x250g 5Ply Chocodate Exclusive Pouch,0.0
LR-O0251,Luxury Venice  Rectangle Matt Fushia White Crispy ,0.0
SF-CPM01535,Pouch - 250g Chocodate Exclusive Ruby,0.0
LR-O0252,Luxury Venice  Rectangle Dark Mauve White Crispy 5,0.0
LR-O0250,Luxury Venice  Rectangle Wedding 3 White Crispy 5K,0.0
LR-O0255,Luxury VeniceTola Gen Matt Fushia Coconut Cream 5k,0.0
SF-XL0994,XL FPS Stix Tomato Ketchup 12g x 20pkts x 8bags,64.4533
LR-O0256,Luxury VeniceTola Gen Mauve Coconut Cream 5kg,0.0
SF-XL0995,XL FPS Original 12g x 20pkts x 8bags,43.625
LR-O0253,Luxury Venice  Rectangle Silver White Crispy 5KG,0.0
SF-XL0992,XL LITE BAKED Black Pepper  12px155g,0.0
LR-O0254,Luxury Venice  Rectan Babies Pink White Crispy 5kg,0.0
SF-XL0993,XL LITE BAKED Vintage Cheese 12px 155g,0.0
LR-O0257,Luxury Venice Heart Plain Red Strawberry 5Kg,0.0
SF-XL0996,XL FPS STIX Thai Campfire 12g x 20pkts x 8bags,309.375
LR-O0258,Luxury Venice Heart Gen Sticker Red Strawberry 5Kg,0.0
LR-O0228,Rouge Milk Crumb with Lotus Biscuits 1kg Bulk,0.0
LR-O0229,Rouge Dark with Orange Peel 1kg Bulk V2 ,0.0
SF-CTN0301,CTN-Bugles Sweet Chilli 4B x 22P x 15G (GM),1435.0
SF-CTN0300,CTN-Bugles Nacho Cheese 4B x 22P x 15G (GM),1493.0
SF-CTN0307,CTN-Bugles Chilli 18P x 125G (GM),2680.0
SF-CTN0306,CTN-Bugles Ketchup 18P x 125G (GM),7786.0
SF-CTN0309,CTN-Bugles Firey Hot 18P x 125G (GM),4464.0
SF-CTN0308,CTN-Bugles Sweet Chilli 18P x 125G (GM),7976.0
LR-O0226,Rouge Milk Crumb With Mixnuts 1kg Bulk,0.0
SF-CTN0303,CTN-Bugles Original 18P x 125G (GM),1320.0
LR-O0227,Rouge Dark With Mixnuts 1kg Bulk V2 ,0.0
SF-CTN0302,CTN-Bugles Caramel 18P x 100G (GM),2867.0
SF-CTN0305,CTN-Bugles Smokin BBQ 18P x 125G (GM),10996.0
SF-CTN0304,CTN-Bugles Nacho Cheese 18P x 125G (GM),1907.0
LR-O0239,Luxury Venice Square  Dark Blue Milk Cream 5Kg,0.0
SF-CTN0310,CTN-Bugles Hot Chilli Pepper Lime 18P x 125G (GM),3655.0
SF-CTN0312,CTN-Bugles Party Mix Firey Hot 18P x 130G (GM),1891.0
SF-CTN0311,CTN-Bugles Buffalo Wings Sauce 18P x 125G (GM),1586.0
LR-O0230,Rouge White with Peanuts 1kg Bulk V2,0.0
SF-CTN0318,CTN-AMIGO Generic Master Brown 100g x 18p,2512.0
SF-CTN0317,CTN-AMIGO Generic Master Brown Small,1779.0
LR-O0231,Rouge Milk Milk Crumb with Fig 1kg Bulk,0.0
SF-CTN0319,CTN-AMIGO Generic Master Brown 18g x 14p x 5box,1219.0
SF-CTN0314,CTN-Bugles Smokin BBQ 15P x 195G (GM),1988.0
LR-O0238,Luxury Venice Square Gen Dark Blue Milk Cream 5Kg,0.0
SF-CTN0313,CTN-Bugles Party Mix Nacho Cheese 18P x 130G (GM),1847.0
SF-CTN0316,CTN-Bugles Firey hot 15P x 195G (GM),2616.0
SF-CTN0315,CTN-Bugles Nacho Cheese 15P x 195G (GM),1578.0
SF-CTN0321,CTN-LEVAN FPS ALL FLV 5X20PX12G,923.0
SF-XL0969,XL FPS Tomato Ketchup 80g x 12pkts,607.8333
SF-CTN0320,CTN-AMIGO Generic Master Brown 180g x 12p,3291.0
SF-CTN0323,CTN - MASTER LULU LOONEY TUNES CORN CHIPS - 120G X 18P,1241.0
SF-XL0967,XL FPS STIX Sea Salt 35g x 6cans x 8trays,0.0
SF-CTN0322,CTN - MASTER LULU LOONEY TUNES CORN CHIPS - 4BX13GX25P,1839.0
SF-XL0968,XL FPS Original 80g x 12pkts,462.152
LR-O0200,Rouge Chocolate Clusters Dark 12x160g,0.0
SF-CTN0329,Carton Ficom Corn Puff Chilli 5b x 18g x 20p,0.0
SF-XL0961,XL FPC Salt & Vinegar 160g x 12pkts,75.0
LR-O0201,Rouge Chocolate Clusters Assorted 12x160g,0.0
SF-CTN0328,CTN - Wesee Corn Puff Chilli - 30p X 100g,1935.0
SF-XL0962,XL FPC Flaming Hot 160g x 12pkts,44.0
SF-XL0960,XL FPC Crystal Salt 160g x 12pkts,57.0
SF-CTN0325,CTN - Master Shark Corn Puff - 5X20PX18G ,429.0
SF-XL0965,XL FPC Chilli Tomato 400g x 8pkts,0.0
SF-CTN0324,CTN - Wesee Corn Puff Chilli - 8bX10PX35G ,3232.0
SF-XL0966,XL FPC Original 400g x 8pkts,0.0
SF-CTN0327,CTN-Ficom FPC Master 5b x 18g x 20p,5457.0
SF-XL0963,XL FPC Crystal Salt 250g x 12pkts,46.83
SF-XL0964,XL FPC Jalapeno Cheddar 400g x 8pkts,0.0
SF-CTN0332,Carton Raja PS Magic Masala 5b x 10g x 20p,2115.0
SF-XL0958,XL FPC Flaming Hot - 12px120g,26.0
SF-CTN0331,Carton Al Rasam Corn Sticks Ketchup 5b x 18g x 20p,2060.0
SF-XL0959,XL FPC BBQ 160g x 12pkts,0.0
SF-CTN0334,CARTON RAJA PS HONEY BUTTER 60g x 12p,2871.0
SF-XL0956,XL FPC BBQ - 12px100g,0.0
SF-CTN0333,Carton Raja PS Honey Butter 5b x 10g x 20p,2008.0
SF-XL0957,XL FPC Flaming Hot - 12px100g,160.611
SF-CTN0330,Carton Al Rasam FPC Master 5b x 18g x 20p,751.0
SF-XL0950,XL LITE BAKED Vintage Cheese 15g x 64pkts,0.0
SF-CTN0339,CARTON FAIRCO FPC FLAMING HOT 18g x 15p x 07b,1397.0
SF-XL0951,XL LITE BAKED Black Pepper 15g x 64pkts,0.0
SF-CTN0336,Carton - 5Ply XL Display Shipper (Green),3412.0
SF-CTN0335,CARTON RAJA PS MAGIC MASALA 60g x 12p,2576.0
SF-XL0955,XL LITE BAKED Vintage Cheese 23g x 5box x 12pkts,0.0
SF-CTN0338,CARTON FAIRCO FPC HOT PEPPER 18g x 15p x 07b,1691.0
SF-CTN0337,CARTON FAIRCO FPC HIMALAYAN SALT 18g x 15p x 07b,1441.0
SF-FLM0204,Film Xtreme Potato Chips BBQ 14gm,433.92
SF-FLM0203,Film Xtreme Potato Chips FRENCH CHEESE 14gm,228.8
SF-FLM0202,Film Xtreme Potato Chips KETCHUP 14gm,195.1606
SF-FLM0201,Film Xtreme Potato Chips HOT 14gm,138.758
SF-FLM0208,Film Xtreme Potato Chips VEGETABLE 14gm,705.01
SF-FLM0207,Film Xtreme Potato Chips CHICKEN 14gm,600.05
SF-XL0980,XL LITE BAKED Vintage Cheese 5bx12px18g,0.0
SF-FLM0206,Film Xtreme Potato Chips SALT & VINEGAR 14gm,172.72
SF-FLM0205,Film Xtreme Potato Chips SALT 14gm,347.72
SF-FLM0209,Film Xtreme Potato Chips HOT 25gm,624.233
SF-CTN0343,CARTON FAIRCO FPC HIMALAYAN SALT 120g x 12p,285.0
SF-CTN0342,CARTON FAIRCO FPC FLAMING HOT 50g x 36p ,3489.0
SF-CTN0345,CARTON FAIRCO FPC FLAMING HOT 120g x 12p ,1032.0
SF-XL0989,XL LITE BAKED Vintage Cheese 64px16g ,0.0
SF-CTN0344,CARTON FAIRCO FPC HOT PEPPER 120g x 12p,4674.0
SF-CTN0341,CARTON FAIRCO FPC HOT PEPPER 50g x 36p ,3688.0
SF-CTN0340,CARTON FAIRCO FPC HIMALAYAN SALT 50g x 36p,5203.0
SF-XL0983,XL FPC Red Chili Pepper 12px 80g,0.0
SF-XL0984,XL FPC Tomato Ketchup 12px80g ,0.0
SF-XL0981,XL FPC Flaming Hot 12px80g,0.0
SF-XL0982,XL FPC French Cheese 12px80g,0.0
SF-CTN0347,CTN- XL Generic Master Brown Large Joker,7772.0
SF-FLM0200,FILM-FAIRCO SALTED 20 gm,80.0
SF-XL0987,XL FPC STIX Tomato 12px90g ,0.0
SF-CTN0346,CTN- XL Generic Master Colour Small Joker ,0.0
SF-XL0988,XL LITE BAKED Black Pepper 64px16g,0.0
SF-CTN0349,CTN- XL Generic Master Brown 10g x 50p,4720.0
SF-XL0985,XL FPC STIX Original (lite salt) 12px90g,0.0
SF-CTN0348,CTN- XL Generic Master Brown Small Joker,8374.0
SF-XL0986,XL FPC STIX Thai Campfire 12px90g ,0.0
SF-FLM0215,Film Xtreme Potato Chips CHICKEN 25gm,1128.5114
SF-FLM0214,Film Xtreme Potato Chips SALT & VINEGAR 25gm,620.88
SF-FLM0213,Film Xtreme Potato Chips SALT 25gm,733.98
SF-FLM0212,Film Xtreme Potato Chips BBQ 25gm,774.2484
SF-FLM0219,Film Xtreme Potato Chips CHICKEN 120gm,136.4476
SF-FLM0218,Film Xtreme Potato Chips KETCHUP 120gm,716.4169
SF-FLM0217,Film Xtreme Potato Chips HOT 120gm,689.9825
SF-FLM0216,Film Xtreme Potato Chips VEGETABLE 25gm,687.44
SF-CTN0354,CTN-TWISTER Generic Master Brown Small,1100.0
SF-CTN0353,CTN-FIESTA Generic Master Brown Large,2016.0
SF-CTN0356,CTN-TWINKLE Generic Master Brown Small,3000.0
SF-XL0978,XL FPC Tomato Ketchup 5bx12p20g,0.0
SF-CTN0355,CTN-TWISTER Generic Master Brown Large,1060.0
SF-XL0979,XL LITE BAKED Black Pepper 5bx12px18g,0.0
SF-CTN0350,CTN- Dotco Master Tortilla & PS 14g x 20p x 5b,2300.0
SF-CTN0352,CTN-FIESTA Generic Master Brown Small,5311.0
SF-CTN0351,CTN- Crunch Well Master Protiene Puff 45g x 20p,502.0
SF-XL0972,XL LITE BAKED Vintage Cheese 5bx12px16g,0.0
SF-XL0973,XL FPC Crystal Salt 5bx12px20g,4.0
SF-XL0970,XL FPS Thai Campfire 80g x 12pkts,482.5833
SF-XL0971,XL LITE BAKED Black Pepper 5x12x16g,0.0
SF-CTN0358,CTN-SPIRAL Generic Master Brown Small,1100.0
SF-FLM0211,Film Xtreme Potato Chips FRENCH CHEESE 25gm,616.4036
SF-XL0976,XL FPC Red Chili Pepper 5bx12x20g,0.0
SF-CTN0357,CTN-TWINKLE Generic Master Brown Large,1100.0
SF-FLM0210,Film Xtreme Potato Chips KETCHUP 25gm,651.24
SF-XL0977,XL FPC Salt & Vinegar 5bx12px20g,0.0
SF-XL0974,XL FPC Flaming Hot 5bx12px20g,0.0
SF-CTN0359,CTN-SPIRAL Generic Master Brown Large,1090.0
SF-XL0975,XL FPC French Cheese 5bx12px20g,0.0
SF-FLM0226,FILM-FIESTA RED HOT 14GM,911.33
SF-SP2006,PU belt ,0.0
SF-FLM0225,FILM-XL FPC CURRY -185G,0.0
SF-SP2005,Rod End Type I:F,7.0
SF-FLM0224,FILM-XL FPC CHICKEN -185G,0.0
SF-SP2004,Bush Die Slide,0.0
SF-FLM0223,FILM-XL FPC CURRY-25g,0.0
SF-SP2003,RCU Softwear For Machine Model-107RJ/N:01/15199,0.0
SF-FLM0229,FILM-Wesee Cheese 40g,2487.609
SF-SP2009,Vj V-706-D Make-Up Solvent,0.0
SF-FLM0228,FILM - FICOM CHEESE 23g,0.0
SF-SP2008,PU Belt,1.0
SF-FLM0227,Film Ficom Pufak Cheese 18gm,892.25
SF-SP2007,PU Belt ,0.0
SF-SP2002,Control Board,0.0
SF-SP2001,Foot Sensor,21.0
SF-SP2000,Relay with Base 8 Pin With Clip For Steam Boiler,0.0
SF-FLM0222,FILM-XL FPC CHICKEN-25g,0.0
SF-FLM0221,FILM-DURRAH-STICKS PAPRIKA-16g,775.48
SF-FLM0220,Film Xtreme Potato Chips VEGETABLE 120gm,181.0
SF-FLM0237,Film Carrefour Tortilla Sweet Chilli 23gm,215.29
SF-SP2017,Filter Element,2.0
SF-FLM0236,Film Carrefour Tortilla Spicy Nacho 23gm,291.138
SF-SP2016,VFD 25AMS43ANSAA 3 Phase 380v 11Kw,0.0
SF-FLM0235,Film Carrefour Tortilla Nacho Cheese 23gm,92.86
SF-SP2015,Bellow Sealed Valve ,0.0
SF-FLM0234,Film Carrefour Tortilla Cool Ranch 23gm,0.0
SF-SP2014,Reducing Valve DP 27,0.0
SF-FLM0239,Film Carrefour Tortilla Cool Ranch 48gm,0.0
SF-SP2019,Endless Belt PVC Green Nonfood Grade With Fastner,1.0
SF-FLM0238,Film Carrefour Tortilla Spicy Sweet Chilli 23gm,301.53
SF-SP2018,IN-Line Filter,2.0
SF-SP2013,Ball Float Trap,0.0
SF-SP2012,Oil Pressure Regulator,2.0
SF-SP2011,NOZZLE FLUIDICS A RIFL.KW3 60°  25 KG/H  KW3,1.0
SF-SP2010,Vj Ink Black 750ml,0.0
SF-FLM0233,FILM-Wesee Sweet Corn 6g,104.91
SF-FLM0232,FILM-Wesee Cheese 6g,215.23
SF-FLM0231,FILM-Wesee Cheese 120g,1155.39
SF-FLM0248,Film Carrefour Tortilla Spicy Sweet Chilli 180gm,220.12
SF-FLM0247,Film Carrefour Tortilla Sweet Chilli 180gm,287.41
SF-FLM0246,Film Carrefour Tortilla Spicy Nacho 180gm,470.99
SF-FLM0245,Film Carrefour Tortilla Nacho Cheese 180gm,122.41
SF-FLM0249,Film Carrefour Corneez Cheese 13gm,552.45
SF-CPM00255,Carton - 6x800g Wishes Pouch,555.999
SF-FLM0240,Film Carrefour Tortilla Nacho Cheese 48gm,96.48
SF-FLM0244,Film Carrefour Tortilla Cool Ranch 180gm,0.0
SF-FLM0243,Film Carrefour Tortilla Spicy Sweet Chilli 48gm,120.46
SF-FLM0242,Film Carrefour Tortilla Sweet Chilli 48gm,16.76
SF-FLM0241,Film Carrefour Tortilla Spicy Nacho 48gm,263.34
SF-FLM0259,Film Carrefour Corneez Hot Chilli 145gm,166.84
SF-FLM0258,Film Carrefour Corneez Cheese 145gm,0.67
SF-FLM0257,Film Carrefour Corneez Ketchup 90gm,223.53
SF-FLM0256,Film Carrefour Corneez Hot Chilli 90gm,329.0
SF-FLM0251,Film Carrefour Corneez Ketchup 13gm,0.16
SF-FLM0250,Film Carrefour Corneez Hot Chilli 13gm,240.94
SF-FLM0255,Film Carrefour Corneez Cheese 90gm,104.94
SF-FLM0254,Film Carrefour Corneez Ketchup 25gm,0.0
SF-FLM0253,Film Carrefour Corneez Hot Chilli 25gm,0.0
SF-FLM0252,Film Carrefour Corneez Cheese 25gm,0.0
SF-FLM0269,Film Ficom Pufak Ship (Red) Cheese 18gm,541.29
SF-SP2049,Scnner Flame Control 560-610VAC,0.0
SF-FLM0268,Film Ficom Pufak Flona Cheese 18gm,1914.0
SF-SP2048,ChassisMicroW/Reset 120VAC,1.0
SF-FLM0267,FILM-Wesee Tortilla Flamin Hot 160g,512.58
SF-SP2047,Base Flame Control  Fireye,1.0
SF-SP2042,Bugle Forming Roller (For New Product),0.0
SF-SP2041,Joint Hose ,3.0
SF-SP2040,Joint Hose,3.0
SF-SP2046,AmplifierUV 3 SEC FFRT,1.0
SF-SP2045,Card Motion 526 REV A,0.0
SF-SP2044,Design Sheeting Roller DR-05,1.0
SF-SP2043,Drive Cector 0.375KW 240VAC STP REV A,1.0
SF-FLM0262,Film Ficom Pufak Flona Cheese 12gm,307.8
SF-FLM0261,Film Ficom Pufak Cheese 12gm,2907.33
SF-FLM0260,Film Carrefour Corneez Ketchup 145gm,28.3
SF-FLM0266,Film Ficom Potato Crispy Sweet & sour 12gm,1943.7
SF-FLM0265,Film Ficom Crispy Wheel Salt & Vinegar 12gm,1504.67
SF-FLM0264,Film Ficom Pufak Ship (Green) Cheese 12gm,774.3
SF-FLM0263,Film Ficom Pufak Ship (Red) Cheese 12gm,495.5
SF-FLM0279,Film Lulu Potato Sticks Cheese 20gm,231.42
SF-SP2059,Omron Meter,0.0
SF-FLM0278,Film Lulu Potato Sticks Salt 20gm,275.71
SF-SP2058,Cutter 5 Row 3.25x3.25x2.75 C/S Triangle UHMW,1.0
SF-SP2053,V-Belt Kit 3 XPZ 1600,0.0
SF-SP2052,Filter Element,0.0
SF-SP2051,Maintenace Kit Ven Valve M25x1,0.0
SF-SP2050,Kit Air Filter,0.0
SF-SP2057,Cutter 14 Row 1.378 C/S HEX HUMW,0.0
SF-SP2056,Cutter Oval 5 Row 2.6 x 1.75 C/S ,1.0
SF-SP2055,House Line DN 12x750,0.0
SF-SP2054,Hous Line DN 6x670,0.0
SF-FLM0273,Film Fade Fit Protein Sea Salt Puffs 40gm,337.15
SF-FLM0272,Film Ficom Potato Crispy Sweet & sour 18gm,366.41
SF-FLM0271,Film Ficom Crispy Wheel Salt & Vinegar 18gm,111.51
SF-FLM0270,Film Ficom Pufak Ship (Green) Cheese 18gm,1154.4
SF-FLM0277,Film Lulu Potato Sticks Chilli 20gm,275.36
SF-FLM0276,Film Fade Fit Protein Sweet Chilli Puffs 40gm,474.78
SF-FLM0275,Film Fade Fit Protein Cheese Puffs 40gm,53.92
SF-FLM0274,Film Fade Fit Protein Peanut Butter Puffs 40gm,604.77
SF-SP2028,Mica Band Heater 2Pcs,12.0
SF-SP2027,Sensor (E-Series Formimg) ,0.0
SF-SP2026,Impeller,0.0
SF-SP2025,Vertical Sewage Pump(Pump3),0.0
SF-SP2029,Mica Band Heater 2Pcs,5.0
SF-SP2020,Elevator Belt L7244mmxW210mm With Flights REV A,0.0
SF-CPM00295,Pouch - 1kg Transparent Plain Pillow,55.299
SF-SP2024,Impeller ,0.0
SF-SP2023,Vertical Sewage Pump (Pump1-2),0.0
SF-SP2022,Steam Solenoid Valve PVS-25A-210,0.0
SF-SP2021,Drive Cable X40,1.0
SF-FLM0280,Film Lulu Crinkle Chips Chilli 50gm,181.56
SF-FLM0284,Film Lulu Bugles Chilli 13gm,325.3
SF-FLM0283,Film Lulu Potato Pipes Chicken 50gm,327.78
SF-FLM0282,Film Lulu Crinkle Chips Cheese 50gm,363.69
SF-FLM0281,Film Lulu Crinkle Chips Salt 50gm,155.0
SF-FLM0288,Film Lulu Bugles Cheese 120gm,543.99
SF-FLM0287,Film Lulu Bugles Salt 120gm,543.99
SF-FLM0286,Film Lulu Bugles Cheese 13gm,325.3
SF-FLM0285,Film Lulu Bugles Salt 13gm,650.6
SF-SP2039,Chamber Vacuum ,0.0
SF-SP2038,Pulley Heater Drive ,2.0
SF-SP2037,Minipack Infill Block Kit ON M/C MOD FM-76,0.0
SF-SP2036,Actuator SQM 48.497 B9  20Nm,0.0
SF-SP2031,Drum Moter DG113,1.0
SF-SP2030,Low Compression Screw ,0.0
SF-SP2035,Brushless Motor With Gearhead,0.0
SF-SP2034,Brass Contact For Tisa-605,0.0
SF-SP2033,Power Supply Switching ,0.0
SF-SP2032,Power Supply Switching,0.0
SF-FLM0291,Film Lool Rings Hot Ketchup 12gm,0.0
SF-FLM0290,Film Lool Bugles Sweet Chilli 12gm,0.0
SF-FLM0295,Film Lool FPS HOT 12gm,0.0
SF-FLM0294,Film Lool FPS Ketchup 12gm,0.0
SF-FLM0293,Film Lool Fingers Cheese 12gm,0.0
SF-FLM0292,Film Lool Rings Cheese 12gm,0.0
SF-FLM0299,Film Lool FPC Hot 12gm,0.0
SF-FLM0298,Film Lool FPC Ketchup 12gm,0.0
SF-FLM0297,Film Lool FPC Cheese 12gm,0.0
SF-FLM0296,Film Lool FPS Hot & Lemon 12gm,0.0
SF-SP2085,Filling machine PLC with program,0.0
SF-SP2084,Air cylinder TN10X10S,1.0
SF-SP2089,Limit Switch Ejector,2.0
SF-SP2088,Seaming machine chuck Air cylinder,1.0
SF-SP2087,Air cylinder SDA25X25,2.0
SF-CAN0047,CANs-LEVAN POTATO STICKS BBQ -37g,0.0
SF-CAN0046,CANs-LEVAN POTATO STICKS SPICY SWEET CHILLI -37g,0.0
SF-CAN0049,CANs-LEVAN POTATO STICKS NACHO CHEESE -37g,0.0
SF-CAN0048,CANs-LEVAN POTATO STICKS FLAMING HOT -37g,0.0
SF-FLM0181,FILM-DURRAH-SLICE-PAPRIKA-13g,1247.556
SF-SP2082,Motor Speed controller,0.0
SF-FLM0180,FILM-DURRAH-SLICE-LEMON CHILLY-13g,1736.24
SF-SP2081,Knife330x5 Zig-Zag High Profile Special Rev A,9.0
SF-SP2080,Pnematic fittings for  X40,0.0
SF-FLM0185,FILM-TWISTER CHEESE-13g,469.268
SF-FLM0184,FILM-DURRAH-BEST CORN PUFF 14 gm,2245.058
SF-CAN0041,CANs-WESEE POTATO STICKS HOT PEPPER SAUCE -37g,9668.0
SF-FLM0183,FILM-DURRAH-COCKTAIL-12g,2358.25
SF-CAN0040,CANs-WESEE POTATO STICKS CHILLI LEMON -37g,7473.0
SF-FLM0182,FILM-DURRAH-SLICE-SALT-13g,464.6663
SF-CAN0043,CANs-WESEE POTATO STICKS SALTED - 37g,25710.0
SF-FLM0189,FILM-TWISTER CHEESE-25g,332.164
SF-CAN0042,CANs-WESEE POTATO STICKS KETCHUP -37g,26510.0
SF-FLM0188,FILM-TWISTER MAXICAN-13g,518.8
SF-CAN0045,CANs-CROWN POTATO STICKS HOT - 50g,139135.0
SF-FLM0187,FILM-TWISTER KETCHUP-13g,299.462
SF-CAN0044,CANs-CROWN POTATO STICKS SALTED - 50g,212666.0
SF-FLM0186,FILM-TWISTER HOT-13g,210.342
SF-SP2096,Film Brake Unit Rework PNEU SpindleREV H,1.0
SF-SP2095,Brass Bush,0.0
SF-SP2094,Bearing 30209,2.0
SF-SP2099,Cart Wheel Design Die Nozzle,0.0
